id_regional;codigo;denominacion;partida_persupuestal;estado;id_usuario_inserta;id_tipo_concepto;importe;id_tipo_afectacion;id_moneda;moneda;periodo;centro_costo;genera_pago;cuenta_contable_debe;cuenta_contable_al_haber1;cuenta_contable_al_haber2
5;00054;Charla paneles de aislamiento para la construcción;G07404;1;1;38;0;1;1;SOLES;2023;100705;0;12121;40111;75994
5;00055;Conferencia marinas deportivas diseño, impacto urbano del conjunto y experiencia local.;G07405;1;1;38;0;1;1;SOLES;2023;100705;0;12121;40111;75994
5;00056;Concurso de delegados;G07601;1;1;38;0;1;1;SOLES;2023;100706;0;12121;40111;75994
5;00057;Catálogo Bialima 2021;G07706;1;1;38;0;1;1;SOLES;2023;100707;0;12121;40111;75994
5;00058;Bienal 2023;G07707;1;1;38;0;1;1;SOLES;2023;100707;0;12121;40111;75994
5;00059;Concurso Postgrado;G07708;1;1;38;0;1;1;SOLES;2023;100707;0;12121;40111;75994
5;00060;Ingresos del Fondo de desarrollo a favor de la Bienal;G07709;1;1;38;0;1;1;SOLES;2023;100707;0;12121;40111;75994
5;00061;Taller de diseño y remodelación de espacios;G07851;1;1;38;0;1;1;SOLES;2023;100709;0;12121;40111;75994
5;00062;Bases: Concurso de delegados;G07601;1;1;39;0;1;1;SOLES;2023;100706;0;12121;40111;75995
5;00063;Bases: Concurso de Postgrado;G07708;1;1;39;0;1;1;SOLES;2023;100707;0;12121;40111;75995
5;00064;Consulta de Colegiados;G10014;1;1;40;0;1;1;SOLES;2023;101005;1;12121;40111;75996
5;00065;Trámite de Expediente Gremial;G10014;1;1;41;0;1;1;SOLES;2023;101005;1;12121;40111;75997
5;00066;Trámite de Expediente Técnico;G10013;1;1;42;0;1;1;SOLES;2023;101004;1;12121;40111;75998
5;00067;Ingresos del FDI y otros;G07709;1;1;43;0;1;1;SOLES;2023;100707;1;12121;40111;75999
